Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
5;Belgien GP;14;A. Sutil;Force India / Mercedes;B;1:29:13.362;9.094;44;10
12;Brasilien GP;14;A. Sutil;Force India / Mercedes;B;1:33:45.492;+ 1 Runde;70;0
11;China GP;14;A. Sutil;Force India / Mercedes;B;1:47:45.037;+ 1:02.874;56;0
17;Deutschand GP;14;A. Sutil;Force India / Mercedes;B;1:28:02.328;+ 2 Runden;65;0
6;Europa GP;14;A. Sutil;Force India / Mercedes;B;1:40:59.739;30.168;57;8
8;Großbritannien GP;14;A. Sutil;Force India / Mercedes;B;1:25:19.132;40.932;52;4
16;Italien GP;14;A. Sutil;Force India / Mercedes;B;1:16:41.994;+ 1 Runde;52;0
10;Kanada GP;14;A. Sutil;Force India / Mercedes;B;1:34:43.991;+ 1 Runde;69;1
5;Malaysia GP;14;A. Sutil;Force India / Mercedes;B;1:34:09.471;21.059;56;10
8;Monaco GP;14;A. Sutil;Force India / Mercedes;B;1:50:20.325;6.970;78;4
9;Singapur GP;14;A. Sutil;Force India / Mercedes;B;2:00:05.995;+ 2:12.416;61;2
7;Spanien GP;14;A. Sutil;Force India / Mercedes;B;1:36:57.042;+ 1:12.941;66;6
9;Türkei GP;14;A. Sutil;Force India / Mercedes;B;1:29:36.649;49.029;58;2
7;Australien GP;15;V. Liuzzi;Force India / Mercedes;B;1:34:36.378;59.847;58;6
9;Bahrain GP;15;V. Liuzzi;Force India / Mercedes;B;1:40.13.404;53.008;49;2
10;Belgien GP;15;V. Liuzzi;Force India / Mercedes;B;1:29:39.099;34.831;44;1
16;Deutschand GP;15;V. Liuzzi;Force India / Mercedes;B;1:27:52.031;+ 2 Runden;65;0
16;Europa GP;15;V. Liuzzi;Force India / Mercedes;B;1:41:20.461;50.890;57;0
11;Großbritannien GP;15;V. Liuzzi;Force India / Mercedes;B;1:25:20.659;42.459;52;0
