Place;DriverId;RaceId;Wheel;Time;Residue;Rounds;Points;StartNumber
9;26;12;B;1:41:08.856;+ 1 Runde;69;2;23
18;27;13;B;1:29:52.280;+ 1 Runde;43;0;24
20;27;18;B;1:34:24.680;+ 2 Runden;69;0;24
18;27;11;B;1:28:22.856;+ 3 Runden;64;0;24
19;27;9;B;1:40:53.767;+ 2 Runden;55;0;24
18;27;10;B;1:24:38.350;+ 2 Runden;50;0;24
17;27;14;B;1:16:48.751;+ 2 Runden;51;0;24
14;27;16;B;1:32:00.772;+ 2 Runden;51;0;24
18;27;5;B;1:37:11.174;+ 3 Runden;63;0;24
18;27;7;B;1:29:03.005;+ 3 Runden;55;0;24
16;27;12;B;1:41:35.185;+ 3 Runden;67;0;24
18;28;19;B;1:39:54.475;+ 2 Runden;53;0;25
17;28;13;B;1:29:46.318;+ 1 Runde;43;0;25
17;28;9;B;1:41:59.858;+ 1 Runde;56;0;25
20;28;14;B;1:16:22.383;+ 3 Runden;50;0;25
19;28;8;B;1:33:59.377;+ 5 Runden;65;0;25
14;28;3;B;1:35:03.483;+ 3 Runden;53;0;25
15;28;15;B;1:59:32.061;+ 2 Runden;59;0;25
19;28;5;B;1:37:00.618;+ 4 Runden;62;0;25
19;28;7;B;1:29:31.763;+ 3 Runden;55;0;25
18;28;12;B;1:42:03.173;+ 4 Runden;66;0;25
